254.4353056,252.6837169,253.5476374,253.6118876,253.5596718
256.3268585,254.9044898,255.4337013,255.4782314,255.4367644
256.7098076,255.6367057,255.9958124,256.0370081,256.0095245
255.7848221,255.0883895,255.3244743,255.3645378,255.3545601
253.1346223,252.8672726,252.9791794,253.0176974,253.0290845
248.1382036,248.4155536,248.3689226,248.406313,248.442916
240.0047966,241.0487304,240.7714442,240.8111254,240.8767585
227.6635829,229.8771251,229.2402017,229.2914485,229.3906059
209.4515816,213.5581558,212.3371788,212.4211632,212.5616158
182.2092667,189.3176238,187.1219664,187.2937824,187.4966821
233.1508851,233.3499838,233.4070486,233.5259289,233.5864162
246.1754528,245.5465395,245.8281786,245.9122154,245.9273301
253.214687,252.1658792,252.5477009,252.6133771,252.6011103
256.7579656,255.5689969,255.9878285,256.0406369,256.012006
257.5223816,256.3478077,256.7572182,256.7981897,256.7618411
255.6462731,254.5940592,254.9548745,254.9842268,254.9481367
250.9933052,250.1655945,250.4412543,250.4603007,250.4324578
243.1793119,242.6954176,242.8534064,242.8662401,242.8548652
231.4291248,231.4423865,231.4777324,231.4953193,231.5088657
214.1541564,214.816421,214.8912383,214.9602743,215.0108986
214.1546545,214.9089018,214.9070586,215.0780356,215.2193786
231.4297764,231.5298613,231.4942067,231.6022986,231.6966376
243.1799415,242.772331,242.8680327,242.9536072,243.0077414
250.9937958,250.2291488,250.452185,250.5218187,250.5402064
255.6465509,254.6422543,254.9608591,255.0159838,255.0042903
257.522413,256.3788659,256.7576943,256.7988254,256.7641058
256.757756,255.5811172,255.9829689,256.0114086,255.9623775
253.2142788,252.1571358,252.5383532,252.5578805,252.5054076
246.174924,245.5148293,245.815719,245.8356276,245.7938621
233.1503667,233.2925043,233.3933256,233.4334914,233.4229239
182.20957,189.2337782,187.1366248,187.4441931,187.7432136
209.4522299,213.4969755,212.3544343,212.5643116,212.7954124
227.6643361,229.8403773,229.257359,229.4171527,229.5962422
240.0054939,241.0313889,240.7864424,240.9127828,241.0435609
248.1387485,248.4111983,248.3803604,248.4804625,248.564937
253.1349755,252.8698447,252.9863881,253.0638858,253.1050954
255.7849886,255.0925992,255.3275004,255.3849882,255.3876588
256.7098217,255.6379775,255.9952723,256.0359515,256.0061694
256.3267693,254.8987919,255.4305266,255.4608213,255.405078
254.4351662,252.6678346,253.5427805,253.5825451,253.5066864
